PWGTP,AGEP,GASP,GRPIP,JWAP,JWDP,JWMNP,FER,HHL,HISPEED,JWTRNS,SCH,SCHL,SEX,state
15,69,50,0,0,0,0,0,1,1,0,1,16,1,05
26,73,40,0,106,61,30,0,1,1,1,1,21,2,05
32,84,40,0,0,0,0,0,1,1,0,1,19,1,05
34,41,40,0,106,65,10,0,1,1,1,1,18,1,05
36,42,40,0,0,0,0,2,1,1,0,1,16,2,05
48,60,130,0,0,0,0,0,1,0,0,1,17,1,05
31,27,70,22,84,43,10,2,1,1,1,2,19,2,05
25,27,70,22,69,29,5,0,1,1,1,1,16,1,05
27,10,70,22,0,0,0,0,1,1,0,2,8,1,05
32,5,70,22,0,0,0,0,1,1,0,2,3,2,05
19,3,70,22,0,0,0,0,1,1,0,2,2,1,05
18,2,70,22,0,0,0,0,1,1,0,0,0,1,05
91,63,3,68,0,0,0,0,1,2,0,1,15,2,05
96,69,3,68,0,0,0,0,1,2,11,1,21,1,05
82,49,130,0,92,52,5,2,1,1,1,1,19,2,05
203,52,130,0,60,19,10,0,1,1,1,1,16,1,05
243,25,130,0,82,40,15,0,1,1,1,1,19,1,05
28,18,130,0,82,40,15,2,1,1,1,2,16,2,05
39,77,3,28,0,0,0,0,1,0,0,1,14,2,05
36,77,3,28,0,0,0,0,1,0,0,1,14,2,05
65,42,120,0,85,43,15,0,1,1,1,1,21,1,05
72,36,120,0,80,37,20,2,1,1,1,1,18,2,05
73,9,120,0,0,0,0,0,1,1,0,2,7,1,05
56,60,130,0,217,127,15,0,2,2,1,1,13,2,05
18,65,130,0,46,13,4,0,2,2,1,1,20,1,05
33,78,3,0,0,0,0,0,1,2,0,1,16,1,05
81,54,3,0,0,0,0,0,1,2,0,1,16,1,05
112,76,3,0,0,0,0,0,1,2,0,1,16,2,05
18,53,30,0,99,58,10,0,1,1,1,1,21,2,05
69,50,30,0,80,37,20,0,1,1,1,1,19,1,05
48,70,3,0,0,0,0,0,1,2,0,1,18,1,05
47,65,3,0,0,0,0,0,1,2,0,1,19,2,05
156,38,40,25,94,53,12,2,1,1,1,1,22,2,05
93,8,40,25,0,0,0,0,1,1,0,2,5,1,05
9,65,80,0,0,0,0,0,1,1,0,1,17,2,05
18,73,80,0,0,0,0,0,1,1,0,1,1,1,05
12,17,80,0,0,0,0,2,1,1,0,2,14,2,05
40,36,3,0,0,0,0,1,2,1,0,1,1,2,05
40,38,3,0,0,0,0,0,2,1,11,1,1,1,05
35,18,3,0,0,0,0,0,2,1,0,2,16,1,05
49,6,3,0,0,0,0,0,2,1,0,2,4,1,05
56,2,3,0,0,0,0,0,2,1,0,0,0,2,05
39,27,10,26,100,57,20,0,1,2,1,1,21,1,05
58,24,10,26,55,16,15,0,1,2,1,1,16,1,05
99,64,3,51,52,13,30,0,1,1,1,1,17,2,05
102,65,3,51,0,0,0,0,1,1,0,1,16,2,05
210,85,3,0,75,31,25,0,1,0,1,1,16,2,05
22,23,3,0,3,1,2,0,1,0,1,1,1,1,05
120,57,3,0,60,16,40,0,1,2,1,1,14,2,05
108,40,90,0,104,61,20,2,1,1,1,1,22,2,05
31,39,90,0,101,61,5,0,1,1,1,1,21,1,05
180,8,90,0,0,0,0,0,1,1,0,3,5,2,05
189,2,90,0,0,0,0,0,1,1,0,0,0,1,05
31,31,3,0,82,42,5,0,1,1,1,1,14,1,05
25,30,3,0,94,55,3,2,1,1,1,1,16,2,05
69,11,3,0,0,0,0,0,1,1,0,2,8,2,05
67,7,3,0,0,0,0,0,1,1,0,2,4,1,05
68,12,3,0,0,0,0,0,1,1,0,3,10,1,05
69,7,3,0,0,0,0,0,1,1,0,2,4,1,05
67,6,3,0,0,0,0,0,1,1,0,2,1,1,05
9,67,20,0,0,0,0,0,1,0,0,1,16,1,05
9,63,20,0,0,0,0,0,1,0,0,1,20,2,05
94,76,80,0,0,0,0,0,1,1,0,1,22,2,05
133,78,80,0,0,0,0,0,1,1,0,1,23,1,05
89,47,3,0,47,13,8,2,1,1,1,1,20,2,05
110,49,3,0,0,0,0,0,1,1,0,1,16,1,05
112,20,3,0,184,109,30,2,1,1,1,2,20,2,05
282,57,50,0,0,0,0,0,1,1,11,1,21,1,05
305,53,50,0,0,0,0,0,1,1,0,1,16,2,05
291,31,50,0,0,0,0,0,1,1,0,1,16,1,05
204,29,50,0,0,0,0,0,1,1,0,1,11,1,05
22,36,50,0,30,6,12,0,1,1,1,1,16,1,05
20,33,50,0,0,0,0,2,1,1,0,1,16,2,05
14,12,50,0,0,0,0,0,1,1,0,2,9,2,05
17,8,50,0,0,0,0,0,1,1,0,2,5,1,05
192,27,3,62,121,79,15,1,2,2,12,1,16,2,05
206,3,3,62,0,0,0,0,2,2,0,1,1,1,05
205,0,3,62,0,0,0,0,2,2,0,0,0,1,05
23,30,160,0,76,37,2,0,1,2,10,1,19,1,05
24,33,160,0,0,0,0,1,1,2,0,1,18,2,05
20,7,160,0,0,0,0,0,1,2,0,3,3,1,05
19,59,10,0,232,133,30,0,1,2,1,1,16,1,05
73,65,3,0,0,0,0,0,1,2,0,1,17,1,05
164,51,3,99,84,45,2,0,1,1,1,1,20,2,05
184,27,60,25,175,106,15,2,1,1,12,1,21,2,05
137,30,60,25,90,49,12,0,1,1,12,1,18,1,05
233,64,50,0,0,0,0,0,1,1,0,1,19,1,05
669,20,3,20,192,115,10,2,1,1,1,2,20,2,05
72,58,20,0,80,37,20,0,1,1,1,1,16,2,05
73,59,20,0,86,46,7,0,1,1,1,1,19,1,05
39,86,20,0,0,0,0,0,1,1,0,1,11,2,05
85,32,3,0,136,79,90,0,2,1,1,1,16,1,05
68,36,3,0,0,0,0,2,2,1,11,1,21,2,05
62,63,3,0,48,13,10,0,1,2,1,1,15,1,05
51,63,3,0,0,0,0,0,1,2,0,1,21,2,05
150,41,3,0,0,0,0,0,1,2,0,1,16,1,05
89,71,3,0,0,0,0,0,1,2,0,1,24,1,05
194,9,3,0,0,0,0,0,1,2,0,2,6,1,05
148,33,3,0,82,31,60,0,1,2,1,1,13,1,05
261,32,3,0,0,0,0,2,1,2,0,1,15,2,05
384,42,190,0,59,18,10,2,1,2,1,1,16,2,05
433,50,190,0,79,37,15,0,1,2,1,1,16,1,05
479,6,190,0,0,0,0,0,1,2,0,2,3,1,05
40,57,3,0,103,61,15,0,1,1,1,1,18,2,05
46,54,3,0,51,13,25,0,1,1,1,1,17,1,05
197,21,3,19,91,43,45,2,1,1,1,2,19,2,05
300,22,3,19,94,46,45,0,1,1,1,1,16,1,05
87,71,20,0,0,0,0,0,1,1,0,1,18,1,05
95,69,20,0,0,0,0,0,1,1,0,1,18,2,05
56,60,70,0,71,29,15,0,1,1,1,1,21,1,05
153,24,70,0,0,0,0,0,1,1,11,1,18,1,05
39,7,70,0,0,0,0,0,1,1,0,2,3,1,05
1099,24,3,97,0,0,0,2,1,1,0,1,19,2,05
159,49,3,101,0,0,0,2,1,0,0,1,16,2,05
58,21,3,46,203,121,6,2,1,1,1,2,19,2,05
81,26,3,46,0,0,0,0,1,1,0,2,18,1,05
50,62,60,0,0,0,0,0,1,1,0,1,18,2,05
49,64,60,0,61,19,17,0,1,1,1,1,16,1,05
77,16,60,0,0,0,0,2,1,1,0,2,13,2,05
